pct_employed_head,avg_monthly_income_php,pct_with_access_to_electricity,pct_with_safe_water_access,pct_with_sanitary_toilet,net_enrollment_rate,pct_permanent_house_material,pct_underemployed_or_informal,avg_family_size,pct_completed_secondary_education,income_level
68.88,26152.91,66.9,73.46,89.28,96.18,57.07,27.12,3.74,39.82,Level 2
57.91,24702.44,71.99,58.97,62.32,78.92,34.5,48.49,5.89,28.73,Level 1
74.6,34930.46,81.59,66.44,87.41,77.45,60.6,31.23,4.92,49.88,Level 3
28.49,9967.66,62.75,41.86,46.26,69.81,25.84,66.38,5.58,34.18,Level 1
46.81,26261.92,71.1,51.15,57.51,76.72,36.13,50.42,7.25,47.91,Level 1
42.73,6500.27,44.18,54.53,52.54,67.74,20.03,57.35,5.9,10.0,Level 2
66.9,38601.75,98.2,92.03,100.0,99.0,70.77,15.37,3.89,91.61,Level 3
68.05,23406.62,81.3,59.71,67.34,81.39,39.03,37.66,6.3,80.64,Level 2
69.33,35497.58,79.42,95.64,83.47,93.51,82.07,16.83,3.96,93.1,Level 3
66.75,26983.07,74.74,70.41,71.61,90.55,82.64,20.37,4.37,69.19,Level 2
37.01,8350.77,47.54,61.11,30.55,68.07,37.74,56.26,6.78,30.16,Level 1
59.48,20756.66,82.91,84.57,56.63,78.52,46.61,38.86,5.05,57.98,Level 2
63.9,32153.53,98.96,66.91,90.77,83.1,74.15,25.1,4.93,73.92,Level 3
37.8,13586.92,78.16,53.39,64.99,68.32,38.19,46.54,6.19,35.67,Level 1
81.64,33790.66,88.96,96.27,95.75,95.02,83.97,8.22,4.49,59.68,Level 3
76.37,35996.13,93.74,97.59,87.98,96.54,98.0,2.49,4.54,90.49,Level 3
81.86,33040.39,83.27,94.48,97.97,86.9,79.47,14.73,4.39,63.33,Level 3
44.51,16664.32,64.37,60.5,64.15,76.27,40.97,35.89,4.27,41.72,Level 1
66.26,38755.92,83.84,70.5,83.91,99.0,65.78,12.89,4.14,75.47,Level 3
36.71,12668.3,54.11,35.15,36.86,69.24,23.68,59.7,6.9,10.0,Level 1
68.12,23146.88,72.76,72.52,82.81,75.78,77.16,18.92,4.98,59.51,Level 2
23.37,12739.32,54.92,52.08,46.92,65.18,37.43,61.86,6.76,24.23,Level 1
86.84,40471.46,100.0,82.39,92.43,95.92,85.22,15.35,4.07,89.06,Level 2
84.39,32662.81,100.0,79.27,81.68,88.61,60.95,15.52,5.3,79.27,Level 3
69.08,28675.73,77.19,77.43,76.42,84.68,69.9,20.37,4.86,69.3,Level 3
74.9,27963.75,76.05,74.55,76.92,85.09,70.51,24.36,4.14,82.4,Level 3
49.95,21370.25,82.94,62.89,65.97,86.04,49.25,31.02,5.38,50.33,Level 2
62.0,30806.71,85.39,66.28,72.25,81.06,73.35,24.97,4.92,58.42,Level 3
44.1,27552.77,68.32,58.46,71.42,70.1,51.44,28.89,5.66,56.28,Level 2
51.35,18013.42,63.89,45.36,65.25,77.71,45.89,50.0,5.17,58.52,Level 2
77.04,23667.07,71.57,58.91,58.86,83.77,63.83,27.13,4.85,47.4,Level 2
86.34,39019.22,100.0,90.5,71.42,92.74,78.68,2.0,4.04,70.96,Level 3
68.08,29947.61,89.7,68.79,64.39,93.75,77.89,37.79,4.76,76.83,Level 3
