barangay,pop_2020,pop_2024,pop_growth_2020_2024,four_ps_total_all_sy,four_ps_recipients_latest,families_surveyed,avg_per_capita_income,avg_family_size,avg_dependents,avg_children_in_school,active_4ps_share,actual_low,actual_middle,actual_high,four_ps_per_1k_pop,pred_low,pred_middle,pred_high,predicted_class
Bagbag,64653,66268,2.497950597806753,746.0,317.0,430,4282.131867776922,5.193023255813953,2.441860465116279,2.0046511627906978,85.5813953488372,52,93,285,4.783605963662703,1,19,410,High
Capri,12903,12940,0.2867550182128187,,,241,3672.743855326323,5.6846473029045645,2.7385892116182573,2.2780082987551866,84.23236514522821,46,55,140,,17,24,200,High
Fairview,61813,63913,3.3973436008606606,1556.0,374.0,151,3605.005953575489,5.3907284768211925,2.8211920529801326,2.2119205298013247,82.78145695364239,16,45,90,5.851704661023579,2,14,135,High
Greater Lagro,23569,24104,2.269930841359413,2106.0,421.0,20,3439.9693362193343,6.2,3.0,2.25,90.0,6,5,9,17.465980750082974,6,4,10,High
Gulod,62542,63651,1.773208403952544,3342.0,313.0,907,4093.231476695339,4.974641675854465,2.4751929437706726,1.970231532524807,85.99779492833517,123,209,575,4.917440417275455,15,51,841,High
Kaligayahan,60462,62132,2.762065429525983,1181.0,200.0,301,4161.981245335809,5.511627906976744,2.521594684385382,1.9966777408637875,72.42524916943522,36,67,198,3.2189531964205242,18,27,256,High
Nagkaisang Nayon,53781,54477,1.2941373347464717,292.0,63.0,264,3672.3621979171203,5.462121212121212,2.787878787878788,2.2954545454545454,74.24242424242425,55,72,137,1.156451346439782,15,83,166,High
North Fairview,44408,47019,5.879571248423708,1295.0,198.0,338,5327.885335462253,5.325443786982248,2.9289940828402368,2.3224852071005917,76.92307692307693,65,94,179,4.211063612582148,20,65,253,High
Novaliches Proper,15468,16096,4.059994828032066,2171.0,488.0,137,3243.750334067121,5.445255474452555,2.8613138686131387,2.1605839416058394,80.2919708029197,45,35,57,30.318091451292243,45,29,63,High
Pasong Putik Proper,39896,40919,2.5641668337677963,1860.0,151.0,289,4209.121294095908,5.889273356401384,2.809688581314879,2.14878892733564,79.58477508650519,42,67,180,3.690217258486278,14,25,250,High
San Agustin,25355,26034,2.6779727864326563,1695.0,231.0,256,3948.2823609044285,5.33203125,2.6171875,2.07421875,86.71875,36,62,158,8.873012214796036,11,20,225,High
San Bartolome,51148,51472,0.6334558536013138,1043.0,72.0,143,3842.3019887519863,5.188811188811189,2.5804195804195804,2.076923076923077,83.91608391608392,28,38,77,1.3988187752564503,10,26,107,High
Santa Lucia,28215,28974,2.690058479532164,2418.0,210.0,352,4617.27977457885,5.480113636363637,2.5198863636363638,2.1051136363636362,82.38636363636364,21,69,262,7.24787740733071,1,4,347,High
Santa Monica,51834,52203,0.7118879499942123,859.0,212.0,716,2922.1940284823227,5.215083798882682,2.206703910614525,1.8463687150837989,81.56424581005587,323,143,250,4.061069287205716,585,41,90,Low
