barangay,family_size,dependents_0_18,children_in_school,children_in_school_ratio,pop_2024,pop_growth_2000_2024,pop_growth_2020_2024,four_ps_per_1k_pop,active_4ps_share,household_status_Active,household_status_Delisted,household_status_Graduated,household_status_Inactive,barangay_Bagbag,barangay_Capri,barangay_Fairview,barangay_Greater Lagro,barangay_Gulod,barangay_Kaligayahan,barangay_Nagkaisang Nayon,barangay_North Fairview,barangay_Novaliches Proper,barangay_Pasong Putik Proper,barangay_San Agustin,barangay_San Bartolome,barangay_Santa Lucia,barangay_Santa Monica
Bagbag,0.11752,0.07725,0.05903,0.05041,0.10583,0.03428,0.0699,0.01834,0.05676,0.04485,0.00852,0.14951,0.00232,0.01019,0.0007,0.00269,0.00012,0.00606,0.00085,0.00084,0.00141,0.00084,0.00578,0.00171,0.00148,0.00727,0.03724
Capri,0.13792,0.08001,0.06856,0.05947,0.07194,0.03093,0.07353,0.01921,0.03365,0.03955,0.00804,0.14238,0.0004,0.0011,0.00556,0.0024,0.00016,0.00564,0.00071,0.00095,0.00089,0.00074,0.00545,0.00297,0.00217,0.00906,0.04819
Fairview,0.13401,0.07966,0.06006,0.08531,0.04564,0.05919,0.0653,0.02738,0.04743,0.01638,0.02088,0.11949,0.00287,0.00221,0.0005,0.05239,0.00012,0.0048,0.00107,0.0009,0.00262,0.00094,0.00564,0.00234,0.00116,0.0089,0.04743
Greater Lagro,0.14486,0.17095,0.11614,0.107,0.10846,0.04887,0.0367,0.08686,0.15689,0.03679,0.01245,0.03902,0.00065,0.00123,0.00111,0.00146,0.01647,0.00845,0.00084,0.00069,0.00075,0.00138,0.00523,0.00547,0.00107,0.00911,0.04228
Gulod,0.14259,0.08477,0.0718,0.05346,0.02779,0.02171,0.03572,0.01482,0.03826,0.03801,0.0087,0.13827,0.00098,0.00202,0.0007,0.00259,0.00014,0.02403,0.00089,0.00096,0.00115,0.00065,0.00605,0.002,0.00181,0.00705,0.03826
Kaligayahan,0.17383,0.10031,0.08199,0.06243,0.03139,0.0425,0.08107,0.05142,0.06116,0.06043,0.01493,0.26962,0.00886,0.00107,0.0003,0.00396,8e-05,0.00471,0.01449,0.00128,0.00255,0.00063,0.00701,0.00153,0.00141,0.00545,0.04181
Nagkaisang Nayon,0.12808,0.09353,0.08494,0.05211,0.02226,0.02577,0.03948,0.04868,0.04369,0.06001,0.02065,0.20805,0.00102,0.00134,0.00047,0.00323,0.00012,0.00507,0.00169,0.00877,0.00107,0.00048,0.00691,0.00198,0.00198,0.00919,0.05327
North Fairview,0.12913,0.08307,0.09665,0.05352,0.02524,0.0542,0.04896,0.01775,0.03192,0.05993,0.0158,0.20708,0.00338,0.0012,0.00034,0.00385,0.00013,0.00483,0.00114,0.00084,0.00762,0.00068,0.00608,0.00211,0.00158,0.0087,0.05156
Novaliches Proper,0.15327,0.09937,0.07269,0.09645,0.08089,0.03561,0.04571,0.08629,0.03634,0.05998,0.0082,0.20691,0.00195,0.00099,0.00062,0.00332,0.00025,0.0049,0.00093,0.00097,0.00172,0.01139,0.00563,0.00383,0.00142,0.01013,0.04762
Pasong Putik Proper,0.16131,0.09483,0.09359,0.07728,0.03303,0.04032,0.06609,0.04947,0.02871,0.04081,0.01959,0.2171,0.00333,0.00104,0.00042,0.00321,9e-05,0.00479,0.00161,0.00176,0.00247,0.00102,0.09666,0.00239,0.00133,0.0081,0.04591
San Agustin,0.13856,0.11749,0.07096,0.0642,0.03709,0.04315,0.05634,0.0326,0.05684,0.03786,0.00873,0.10492,0.00088,0.00138,0.00122,0.00228,0.00022,0.00692,0.00075,0.00074,0.00123,0.00096,0.00694,0.02364,0.00142,0.00769,0.04327
San Bartolome,0.13736,0.10301,0.05282,0.055,0.0199,0.03127,0.07243,0.04566,0.02883,0.02691,0.02017,0.10779,0.00355,0.00102,0.00121,0.0019,0.00013,0.00523,0.00084,0.00164,0.00089,0.00055,0.00657,0.00247,0.04275,0.00845,0.05256
Santa Lucia,0.11151,0.08944,0.05675,0.04651,0.02739,0.04584,0.08823,0.03951,0.0696,0.03968,0.01026,0.1938,0.00419,0.0011,0.00073,0.00331,0.00013,0.0046,0.00066,0.00109,0.00181,0.00106,0.0064,0.00256,0.00126,0.09881,0.03488
Santa Monica,0.0918,0.0652,0.04637,0.05804,0.02477,0.033,0.09798,0.02659,0.04218,0.03496,0.01756,0.10307,0.00262,0.00099,0.00023,0.00252,7e-05,0.00338,0.00093,0.00065,0.00038,0.00026,0.00358,0.0023,0.00186,0.01051,0.30315
